D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_13_922.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_13_922.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_13_922.jpg, 0, 0.0790011, 0, 0.02839584
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_028.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_028.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_028.jpg, 0, 0.3779454, 0, 0.3758968
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_233.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_233.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_233.jpg, -0.5901783, 1, 0, 2.600755
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_355.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_355.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_355.jpg, -0.9660804, 1, 0, 4.133645
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_463.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_463.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_463.jpg, -0.6708729, 1, 0, 5.302118
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_568.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_568.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_568.jpg, -0.3563412, 1, 0, 6.462753
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_675.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_675.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_675.jpg, 0, 1, 0, 7.827246
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_778.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_778.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_778.jpg, 0, 1, 0, 8.953339
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_886.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_886.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_886.jpg, 0, 1, 0, 10.07086
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_14_987.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_14_987.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_14_987.jpg, 0, 1, 0, 11.17748
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_097.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_097.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_097.jpg, -0.3276951, 1, 0, 12.49634
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_197.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_197.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_197.jpg, -0.5467608, 1, 0, 13.31378
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_305.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_305.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_305.jpg, -0.2471031, 1, 0, 14.52174
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_411.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_411.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_411.jpg, 0, 1, 0, 15.79751
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_512.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_512.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_512.jpg, 0, 1, 0, 16.76917
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_615.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_615.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_615.jpg, 0, 1, 0, 17.84481
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_723.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_723.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_723.jpg, -0.2967594, 1, 0, 18.8184
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_830.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_830.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_830.jpg, -0.5348538, 1, 0, 19.84509
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_15_934.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_15_934.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_15_934.jpg, -0.2210253, 1, 0, 20.87276
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_16_035.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_16_035.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_16_035.jpg, 0, 1, 0, 21.81066
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_16_140.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_16_140.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_16_140.jpg, 0, 1, 0, 22.82038
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_16_243.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_16_243.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_16_243.jpg, 0, 1, 0, 23.78584
D:\simulator-windows-64\DATA\IMG\center_2020_04_03_01_00_16_352.jpg, D:\simulator-windows-64\DATA\IMG\left_2020_04_03_01_00_16_352.jpg, D:\simulator-windows-64\DATA\IMG\right_2020_04_03_01_00_16_352.jpg, 0, 1, 0, 24.95027
